OBJECTID,Address,TotalRoofArea,UsableRoofArea,PercentUsable,PotentialSystemSize,ProjectedAnnualKWH,ProjectedAnnualSavings,EntranceCorridor,HistoricallyProtected,Comments,created_user,created_date,last_edited_user,last_edited_date,ShapeSTArea,ShapeSTLength
1,1154 5TH ST SW,3601.69503937,1349.79306,37.47660622,17.3544822,20825.37864,2290.79165,Yes, ,,,,CITY,2020/12/08 18:58:32+00,3601.69140625,250.048903179366
2,506+ MOSELEY DR,1429.99030607,465.00048,32.51773549,5.9785776,7174.29312,789.1722432, , ,,,,CITY,2020/12/08 18:58:32+00,1429.96484375,158.985386526572
3,108 HARRIS RD,1478.147393,639.37566,43.25520346,8.2205442,9864.65304,1085.111834, , ,,,,CITY,2020/12/08 18:58:32+00,1478.140625,178.643649737359
4,113 AZALEA DR,1014.80323765,477.91716,47.094564,6.1446492,7373.57904,811.0936944, , ,,,,CITY,2020/12/08 18:58:32+00,1014.78515625,128.338414954337
5,2727 JEFFERSON PARK AVE,1136.3099965,490.83384,43.19541698,6.3107208,7572.86496,833.0151456, , ,,,,CITY,2020/12/08 18:58:32+00,1136.3046875,143.798916031791
6,816 ROUGEMONT AVE,1315.88668153,368.12538,27.97546109,4.7330406,5679.64872,624.7613592, , ,,,,CITY,2020/12/08 18:58:32+00,1315.8984375,154.709992208454
7,2716 MCELROY DR,1663.8786352,335.83368,20.18378463,4.3178616,5181.43392,569.9577312, , ,,,,CITY,2020/12/08 18:58:32+00,1663.875,173.313926234732
8,219 MONTE VISTA AVE,1213.48775017,355.2087,29.27171692,4.566969,5480.3628,602.839908, , ,,,,CITY,2020/12/08 18:58:32+00,1213.50390625,157.701187138185
9,513 HARRIS RD,2363.23239306,723.33408,30.6078265,9.3000096,11160.01152,1227.601267, , ,,,,CITY,2020/12/08 18:58:32+00,2363.2421875,220.455930923515
10,112+ OLD FIFTH CIR,2729.17445143,671.66736,24.61064223,8.6357232,10362.86784,1139.915462, , ,,,,CITY,2020/12/08 18:58:32+00,2729.19140625,239.001242027966
11,505+ HARRIS RD,1337.9586112,355.2087,26.54855673,4.566969,5480.3628,602.839908, , ,,,,CITY,2020/12/08 18:58:32+00,1337.94921875,148.403252807285
12,218 PALATINE AVE,820.78571727,245.41692,29.90024267,3.1553604,3786.43248,416.5075728, , ,,,,CITY,2020/12/08 18:58:33+00,820.77734375,131.133376988481
13,105 LIDE PL,1259.24444154,342.29202,27.18233402,4.4008974,5281.07688,580.9184568, , ,,,,CITY,2020/12/08 18:58:33+00,1259.24609375,148.837333537524
14,307 PALATINE AVE,1235.88435146,303.54198,24.56070958,3.9026826,4683.21912,515.1541032, , ,,,,CITY,2020/12/08 18:58:33+00,1235.890625,144.456740433262
15,905 ROUGEMONT AVE,920.22497314,232.50024,25.2655865,2.9892888,3587.14656,394.5861216, , ,,,,CITY,2020/12/08 18:58:33+00,920.21875,129.443929051711
16,507+ HARRIS RD,1384.64589676,348.75036,25.18697089,4.4839332,5380.71984,591.8791824, , ,,,,CITY,2020/12/08 18:58:33+00,1384.640625,149.283935354924
17,412 HARRIS RD,1189.05227116,368.12538,30.95956208,4.7330406,5679.64872,624.7613592, , ,,,,CITY,2020/12/08 18:58:33+00,1189.05078125,153.322909856517
18,100 KEYSTONE PL,3464.70702861,1795.41852,51.82021193,23.0839524,27700.74288,3047.081717, , ,,,,CITY,2020/12/08 18:58:33+00,3464.7109375,235.470567384596
19,106 HARRIS RD,1174.03881186,393.95874,33.55585294,5.0651838,6078.22056,668.6042616, , ,,,,CITY,2020/12/08 18:58:33+00,1174.0390625,140.635579789469
20,228 OLD LYNCHBURG RD,1056.91725138,406.87542,38.49643154,5.2312554,6277.50648,690.5257128, , ,,,,CITY,2020/12/08 18:58:33+00,1056.9140625,153.179192817406
21,818 ROUGEMONT AVE,1154.44332731,310.00032,26.8527959,3.9857184,4782.86208,526.1148288, , ,,,,CITY,2020/12/08 18:58:33+00,1154.4453125,143.181111646792
22,218 MONTE VISTA AVE,1179.90339632,238.95858,20.25238529,3.0723246,3686.78952,405.5468472, , ,,,,CITY,2020/12/08 18:58:33+00,1179.89453125,150.193274562402
23,110 AZALEA DR,1213.8651113,497.29218,40.96766263,6.3937566,7672.50792,843.9758712, , ,,,,CITY,2020/12/08 18:58:33+00,1213.86328125,140.874232891012
24,509 MOSELEY DR,1464.25036992,594.16728,40.57825517,7.6392936,9167.15232,1008.386755, , ,,,,CITY,2020/12/08 18:58:33+00,1464.2421875,157.256809104582
25,110 LIDE PL,804.58911301,348.75036,43.34515058,4.4839332,5380.71984,591.8791824, , ,,,,CITY,2020/12/08 18:58:33+00,804.578125,113.710410842071
26,509+ HARRIS RD,1429.70383398,348.75036,24.39318895,4.4839332,5380.71984,591.8791824, , ,,,,CITY,2020/12/08 18:58:33+00,1429.70703125,151.949814039198
27,533 HARRIS RD,1867.86659996,193.7502,10.37280725,2.491074,2989.2888,328.821768, , ,,,,CITY,2020/12/08 18:58:33+00,1867.8671875,186.76868528767
28,219 OLD LYNCHBURG RD,1283.71732891,381.04206,29.68270634,4.8991122,5878.93464,646.6828104, , ,,,,CITY,2020/12/08 18:58:33+00,1283.73046875,145.570299577485
29,907 ROUGEMONT AVE,874.37429047,213.12522,24.37459734,2.7401814,3288.21768,361.7039448, , ,,,,CITY,2020/12/08 18:58:33+00,874.3671875,128.45389916253
30,2719 MCELROY DR,1646.71756941,109.79178,6.66731098,1.4116086,1693.93032,186.3323352, , ,,,,CITY,2020/12/08 18:58:33+00,1646.72265625,168.499038426647
31,221 MONTE VISTA AVE,831.15320572,96.8751,11.65550483,1.245537,1494.6444,164.410884, , ,,,,CITY,2020/12/08 18:58:33+00,831.14453125,130.91997837338
32,511+ HARRIS RD,1541.71738227,400.41708,25.97214498,5.1482196,6177.86352,679.5649872, , ,,,,CITY,2020/12/08 18:58:33+00,1541.71484375,157.365356842408
33,104 HARRIS RD,908.08549935,251.87526,27.73695462,3.2383962,3886.07544,427.4682984, , ,,,,CITY,2020/12/08 18:58:33+00,908.078125,121.186430700746
34,2718 MCELROY DR,1720.09310036,581.2506,33.791811,7.473222,8967.8664,986.465304, , ,,,,CITY,2020/12/08 18:58:33+00,1720.08984375,170.816033328623
35,103 LIDE PL,1208.79107239,96.8751,8.01421405,1.245537,1494.6444,164.410884, , ,,,,CITY,2020/12/08 18:58:33+00,1208.7890625,146.099090190196
36,101+ CAMELLIA DR,1629.29117919,497.29218,30.52199503,6.3937566,7672.50792,843.9758712, , ,,,,CITY,2020/12/08 18:58:33+00,1629.29296875,180.757102459945
37,100 GRIMES PL,1126.22308659,251.87526,22.36459852,3.2383962,3886.07544,427.4682984, , ,,,,CITY,2020/12/08 18:58:33+00,1126.21484375,139.843820420736
38,909 ROUGEMONT AVE,792.71172495,193.7502,24.44144419,2.491074,2989.2888,328.821768, , ,,,,CITY,2020/12/08 18:58:33+00,792.70703125,120.729373618196
39,105 GRIMES PL,1933.8667007,452.0838,23.37719568,5.812506,6975.0072,767.250792, , ,,,,CITY,2020/12/08 18:58:33+00,1933.859375,201.298723051146
40,230+ OLD LYNCHBURG RD,1013.88937463,96.8751,9.5547994,1.245537,1494.6444,164.410884, , ,,,,CITY,2020/12/08 18:58:33+00,1013.88671875,128.596143264677
41,1028 LINDEN AVE,2024.96482842,729.79242,36.03975886,9.3830454,11259.65448,1238.561993, , ,,,,CITY,2020/12/08 18:58:33+00,2024.96875,240.75546550704
42,1032 LINDEN AVE,1419.0806901,529.58388,37.31880022,6.8089356,8170.72272,898.7794992, , ,,,,CITY,2020/12/08 18:58:33+00,1419.08203125,169.794228903928
43,101 LIDE PL,1256.80965609,135.62514,10.79122375,1.7437518,2092.50216,230.1752376, , ,,,,CITY,2020/12/08 18:58:33+00,1256.796875,161.396321332892
44,222+ PALATINE AVE,1082.0641737,284.16696,26.2615632,3.6535752,4384.29024,482.2719264, , ,,,,CITY,2020/12/08 18:58:33+00,1082.05859375,145.747988683345
45,1030 LINDEN AVE,1376.59948623,368.12538,26.74164798,4.7330406,5679.64872,624.7613592, , ,,,,CITY,2020/12/08 18:58:33+00,1376.59765625,161.69579272702
46,1034 LINDEN AVE,1129.34489283,368.12538,32.59636618,4.7330406,5679.64872,624.7613592, , ,,,,CITY,2020/12/08 18:58:33+00,1129.359375,135.279236692111
47,164+ OLD FIFTH CIR,5153.40440758,1478.95986,28.69869589,19.0151982,22818.23784,2510.006162,Yes, ,,,,CITY,2020/12/08 18:58:33+00,5153.4140625,370.159934994395
48,102 HARRIS RD,1639.22253653,484.3755,29.54909955,6.227685,7473.222,822.05442, , ,,,,CITY,2020/12/08 18:58:33+00,1639.20703125,174.259079556174
49,911 ROUGEMONT AVE,1149.78159231,303.54198,26.39996758,3.9026826,4683.21912,515.1541032, , ,,,,CITY,2020/12/08 18:58:33+00,1149.7734375,136.287721899962
50,115 AZALEA DR,1362.02714315,632.91732,46.46877176,8.1375084,9765.01008,1074.151109, , ,,,,CITY,2020/12/08 18:58:33+00,1362.01953125,157.436037206408
51,900 ROUGEMONT AVE,1036.82564032,271.25028,26.16161053,3.4875036,4185.00432,460.3504752, , ,,,,CITY,2020/12/08 18:58:33+00,1036.83203125,129.736623503157
52,108 LIDE PL,778.40633068,226.0419,29.03906183,2.906253,3487.5036,383.625396, , ,,,,CITY,2020/12/08 18:58:33+00,778.40625,111.939943173465
53,101+ OLD FIFTH CIR,2662.88130198,658.75068,24.7382672,8.4696516,10163.58192,1117.994011, , ,,,,CITY,2020/12/08 18:58:33+00,2662.890625,222.856854680859
54,101 LEIGH PL,1242.11712731,335.83368,27.03719739,4.3178616,5181.43392,569.9577312, , ,,,,CITY,2020/12/08 18:58:33+00,1242.10546875,142.249970649377
55,102 GRIMES PL,1304.56132004,193.7502,14.85175001,2.491074,2989.2888,328.821768, , ,,,,CITY,2020/12/08 18:58:33+00,1304.5625,151.702244142195
56,115+ HILTON DR,1364.10043154,303.54198,22.25217337,3.9026826,4683.21912,515.1541032, , ,,,,CITY,2020/12/08 18:58:33+00,1364.09375,149.331420205854
